2022 05 03	14:58:10 	 42c723d9-035b-44d7-9c7a-799e629724b3 	 GET	 undefined 	 / 
2022 05 03	14:58:10 	 0dce311c-8662-43c5-9e3c-b7247f1641e2 	 GET	 undefined 	 /favicon.ico 
2022 05 03	14:58:59 	 9daea792-5b95-4044-8447-c0e4e00641d5 	 GET	 undefined 	 / 
2022 05 03	14:58:59 	 10addbac-9a06-4091-90c2-5163d09114da 	 GET	 undefined 	 /css/style.css 
2022 05 03	14:58:59 	 164d574c-1312-4f94-96b2-6b34e46b52e6 	 GET	 undefined 	 /favicon.ico 
2022 05 03	14:59:18 	 ead89d92-36b5-481a-bac2-8eac239a9e32 	 GET	 undefined 	 /fish 
2022 05 03	14:59:18 	 e0228a39-d9cf-48ae-8e3e-965a1817759a 	 GET	 undefined 	 /css/style.css 
2022 05 03	14:59:27 	 08cba305-836a-4049-9718-ef1c3cff2927 	 GET	 undefined 	 /states 
2022 05 03	15:00:44 	 1c0c76f2-0195-4d4c-881e-db361e62a1db 	 GET	 undefined 	 /states 
2022 05 03	15:00:51 	 ae653eca-0861-42e2-be7e-fb279d860574 	 GET	 undefined 	 /states/ks 
2022 05 03	15:02:35 	 7799e466-0efe-4180-b9c7-0c9ad347898d 	 GET	 undefined 	 /states/ks 
2022 05 03	15:02:44 	 82d83efa-b87a-4b78-b32e-54099692411b 	 GET	 undefined 	 /states/ks/funfact 
2022 05 03	15:02:50 	 75412814-8960-4bdb-afbf-5a4aa00874af 	 GET	 undefined 	 /states/ks/capital 
2022 05 03	15:02:55 	 d6b5e42d-49a6-46f3-af65-afdf452f56a7 	 GET	 undefined 	 /states/ks/capita 
2022 05 03	15:02:55 	 0411372f-d6c6-41e8-b29c-6a6348a31fe9 	 GET	 undefined 	 /states/ks/css/style.css 
2022 05 03	15:03:03 	 a2516580-1825-4c9f-aaaa-4984f9783699 	 GET	 undefined 	 /states/ks/nickname 
2022 05 03	15:05:46 	 d6d4b1c9-0fff-4d22-b534-5fef95261418 	 GET	 undefined 	 /states/ 
2022 05 03	15:05:51 	 6381b1f7-c16d-443b-99a5-639178e26ea3 	 GET	 undefined 	 / 
2022 05 03	15:05:51 	 f621280c-8dd8-45b1-9c5a-b30600f292a5 	 GET	 undefined 	 /css/style.css 
2022 05 03	20:08:14 	 35693ab6-66ce-42ce-bf3f-554acce10c08 	 GET	 undefined 	 / 
2022 05 03	20:08:14 	 e35a1c1c-a2c9-458b-b524-96f2e129f46e 	 GET	 undefined 	 /css/style.css 
2022 05 03	20:08:14 	 532d11b0-3f98-439e-8de5-4e97eb5db408 	 GET	 undefined 	 /favicon.ico 
2022 05 03	20:08:21 	 1c254bf8-a5f1-44cf-849d-48c73b406a73 	 GET	 undefined 	 /KS 
2022 05 03	20:08:21 	 af85eefe-24b6-4833-8729-98f1c11bc630 	 GET	 undefined 	 /css/style.css 
2022 05 03	20:08:29 	 18cfcfdf-2f29-4ab4-a892-b4c5f9db251b 	 GET	 undefined 	 /states 
2022 05 03	20:08:33 	 90abb9d3-4d48-4b4a-bb02-b885b03c8f41 	 GET	 undefined 	 /states/ks 
2022 05 03	20:08:38 	 80590aa2-bfc0-4c08-b96a-b496e2e39292 	 GET	 undefined 	 /states/ks 
2022 05 03	20:09:17 	 a1426522-7bd2-42c6-9d25-edef3418405f 	 GET	 undefined 	 /states/KY 
2022 05 03	20:12:17 	 af0c4f29-866f-4ccb-8304-aae875efcd91 	 GET	 undefined 	 /states/ks 
2022 05 03	20:12:27 	 ff71644a-d93a-4317-a21f-ba7872527e8e 	 GET	 undefined 	 /states/ 
2022 05 03	20:12:32 	 7cbe4468-a636-4495-bb39-2026219a15b7 	 GET	 undefined 	 /states/ks 
2022 05 03	20:12:55 	 25215f9b-985e-48d0-8ff8-c027e2948b62 	 GET	 undefined 	 /states/KS 
2022 05 03	20:13:21 	 00a81fe6-019c-4ac1-be7e-a0f93e9c9ba5 	 GET	 undefined 	 /states/ks 
2022 05 03	20:13:27 	 02d10a1e-6474-47ee-92ea-825897fb094a 	 GET	 undefined 	 /states/ar 
2022 05 05	20:36:51 	 13796a2d-e983-4291-a12e-d53d21a728f8 	 GET	 undefined 	 / 
2022 05 05	20:36:58 	 e863f8a0-9927-4fb1-9fd9-da579b18351a 	 GET	 undefined 	 /states 
2022 05 05	20:37:02 	 c5bae12d-6d4c-456b-86fd-ad9e3de158cd 	 GET	 undefined 	 /states/KS 
2022 05 05	20:37:05 	 0563a5f9-dc20-4cc3-acae-59c7e64efa9d 	 GET	 undefined 	 /states/ks 
2022 05 05	20:37:15 	 7bd792d1-fafb-41c1-87e8-8689fb0d74f6 	 GET	 undefined 	 /states/ks/funfacts 
2022 05 05	20:37:18 	 8796cf3d-3046-412b-b4aa-5a3cefcabd67 	 GET	 undefined 	 /states/ks/funfact 
2022 05 05	20:37:43 	 5de7e7dc-2f22-430a-ac35-4e1a98cdf8f5 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	20:39:20 	 fbdf6e75-ed7d-40c9-a10e-f702f610f7dd 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	20:44:57 	 c4fa691a-4153-4ee5-896a-776228ba9fef 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	20:48:45 	 7ad4b4c2-fdfd-4533-8da2-06a541d0defd 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	20:48:50 	 c5d539ce-fc27-4f3e-b98c-d4ff031ddc12 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	20:52:12 	 113327ad-226b-4d26-9325-3d0dc07bc749 	 POST	 undefined 	 /states/ww/funfact 
2022 05 05	20:56:12 	 700185b2-3ddf-4d7a-954f-5b1872b99d4f 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	20:58:29 	 54f84f24-3e6b-410b-b1d8-ba0bf22ca41e 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:00:22 	 0b56960d-acbb-41f4-92ce-29e2d734215b 	 POST	 undefined 	 /states/ks/funfac 
2022 05 05	21:00:26 	 f37fa1e4-b7f5-4426-a123-9f174bc7e521 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:02:54 	 93609e6b-a61d-41ca-a9da-8d203d9c69d7 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:02:59 	 4eb9781b-fb6f-40c3-86db-c3ded65a4767 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:05:29 	 c8501a47-48fc-4388-b8da-a683a66d32f2 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:08:59 	 e6d6bab3-7d4f-4241-9ab0-d3aeea863e46 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:11:29 	 3361073d-5c4f-4d53-89d0-19860ce0644a 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:11:47 	 05282e77-d0c9-4eac-bc38-cce622a572c2 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:12:57 	 898323f1-0d69-4f2e-be60-21adc089d96c 	 POST	 undefined 	 /states/ks/funfact 
2022 05 05	21:20:17 	 44ec6a44-a0ea-40f3-8603-4b37febc22e3 	 POST	 undefined 	 /states/ 
2022 05 05	21:20:23 	 ea648ce8-104c-4df6-920a-29a6d8f9ea54 	 POST	 undefined 	 /states 
2022 05 05	21:20:28 	 e2290bc6-cd0d-4112-bef6-1f2d68c6f3b8 	 GET	 undefined 	 /states 
2022 05 05	21:27:09 	 1e9a0835-9fd3-43d6-9ff2-95748521cc97 	 GET	 undefined 	 /states/ks/population 
2022 05 05	21:29:00 	 01750305-b70f-43ac-8b69-9b43b53f2895 	 GET	 undefined 	 /states/ks/capital 
2022 05 05	21:30:56 	 3808fcb2-a5dc-4498-a4a0-68e51ef12959 	 GET	 undefined 	 /states/ks/nickname 
2022 05 06	20:11:52 	 1dc5f2eb-f97e-4318-88e1-9686fdbc9688 	 GET	 undefined 	 / 
2022 05 06	20:11:52 	 938ca6a3-45cd-4bab-afde-002ba4712f58 	 GET	 undefined 	 /css/style.css 
2022 05 06	20:11:52 	 561eacb7-d9b8-4c9a-8e10-73f1ebfcd475 	 GET	 undefined 	 /favicon.ico 
2022 05 06	20:11:58 	 42d0c5a9-410a-4d00-a679-0c2056356b04 	 GET	 undefined 	 /states/ks 
2022 05 06	20:12:04 	 b0658331-f9a6-4760-8d30-64a381cf29bf 	 GET	 undefined 	 /states 
2022 05 06	20:13:17 	 9cc71fd5-5719-438d-9e90-c19ef6fe9dc5 	 GET	 undefined 	 /states 
2022 05 06	20:13:26 	 e22c8de4-4fce-4d69-98a5-1e48540b7745 	 GET	 undefined 	 /states 
2022 05 06	20:15:18 	 adb99f4e-56fc-4135-b437-d17def644232 	 GET	 undefined 	 /states/ks 
2022 05 06	20:15:45 	 5f2f6288-1656-4a24-8847-7738853e3b8b 	 GET	 undefined 	 /states/ks 
2022 05 06	20:16:24 	 02636cbd-6144-43c5-abfb-ffb0f7769789 	 GET	 undefined 	 /states/ks 
2022 05 06	20:17:14 	 f18fd30f-3757-44e3-817e-63c4be79a4f3 	 GET	 undefined 	 /states/ks 
2022 05 06	20:18:13 	 55ebc28b-7f3e-483b-865a-cd1a6ca0500b 	 GET	 undefined 	 /states/ks 
2022 05 06	20:18:28 	 dbf91fa8-c620-4d9b-8f5c-65751e75c0c2 	 GET	 undefined 	 /states/ks 
2022 05 06	20:18:28 	 50efa945-c143-45bf-85f2-b0f0afdc89d3 	 GET	 undefined 	 /states/ks 
2022 05 06	20:20:08 	 e1c3cb96-0484-4347-807e-9396f12cd8a4 	 GET	 undefined 	 /states/ks 
2022 05 06	20:24:00 	 871fe640-f106-4dbc-9f70-927d15e6e742 	 GET	 undefined 	 /states 
2022 05 06	20:31:33 	 80f58318-1b9a-4dac-9bf6-378851845696 	 GET	 undefined 	 /states 
